is_prime_time,is_prime_space,is_most_proposed,freq,airing_time_hour,title,genres,mean_row,mean_col,median_row,media_col,count
False,False,False,0.0014723769284936943,0,Barbarians,Action+Adventure+Drama+History,5.105732484076433,3.0063694267515926,4,2,785
False,False,False,0.00044811471736764613,7,The Valhalla Murders,Crime+Drama+Mystery+Thriller,16,6.423076923076923,14.5,4.0,52
False,True,False,0.026310735548300365,11,Bridgerton,Drama+Romance,3.855252918287938,1.332295719844358,4,1,1285
False,False,False,0.0029447538569873886,15,Cable Girls,Drama,5.551229508196721,3.9453551912568305,5.0,3.0,1464
True,False,False,0.00025606555278151206,19,High Seas,Crime+Drama+Mystery,14.829113924050633,8.227848101265822,9.0,4.0,158
True,False,False,0.0017924588694705845,19,Ma Rainey's Black Bottom,Drama+Music,4.298507462686567,6.149253731343284,4,5,67
True,False,False,0.004929261891044107,21,Rose Island,Adventure+Comedy+Drama,4.716666666666667,4.088095238095238,3.0,3.0,420
False,False,False,0.003008770245182767,7,Sweet Home,Drama+Fantasy+Horror+Thriller,4.252964426877471,2.5573122529644268,4,2,253
False,False,False,0.00025606555278151206,14,Vampires,Drama+Fantasy+Horror,8.941176470588236,2.0588235294117645,4,2,17
False,False,False,0.0010242622111260482,13,The Prom,Comedy+Drama+Musical,8.537313432835822,6.992537313432836,5.0,4.0,134
False,False,False,6.401638819537802e-05,17,After Life,Comedy+Drama,8.115702479338843,8.181818181818182,3,4,121
False,False,False,6.401638819537802e-05,2,White Lines,Drama+Mystery,6.3023255813953485,4.828488372093023,5.0,4.0,344
False,False,False,6.401638819537802e-05,7,The Eddy,Drama+Musical,5,7.025316455696203,5,4,79
False,True,False,0.012483195698098713,8,Pieces of a Woman,Drama,3.8505747126436782,5.272030651340996,4,3,261
False,False,False,0.012035080980731068,14,The Crown,Drama+History,4.279254264180881,2.436334787782626,4,2,2521
False,False,False,0.0021125408104474747,16,Offering to the Storm,Crime+Thriller,4.333333333333333,3.4482758620689653,3.0,2.0,174
True,False,False,0.0013443441521029385,19,The Legacy of the Bones,Crime+Thriller,6.169642857142857,6.723214285714286,3.0,5.0,112
True,False,False,0.0005121311055630241,22,The Hookup Plan,Comedy,7.443526170798898,3.4269972451790633,5,3,363
False,False,False,0.00019204916458613405,3,GIMS: On the Record,Documentary+Music,7.666666666666667,5.992592592592593,7,3,135
True,False,False,0.0028167210805966326,19,Money Heist,Action+Crime+Mystery+Thriller,4.767732962447845,3.5931849791376913,4.0,3.0,1438
False,False,False,0.003904999679918059,7,Virgin River,Drama+Romance,5.919034090909091,4.686079545454546,4.0,4.0,704
True,False,False,0.0005121311055630241,20,Winter on Fire: Ukraine's Fight for Freedom,Documentary,11.141176470588235,4.235294117647059,12,4,85
